BSGatlas-gene-4272 5-ureB-sRNA
BSGatlas-gene-4317 "16.11: Scavenge (Catabolism);16.2: Construct biomass (Anabolism)"
BSGatlas-gene-4424 "16.11: Scavenge (Catabolism);16.2: Construct biomass (Anabolism)"
BSGatlas-gene-4449 "16.11: Scavenge (Catabolism);16.2: Construct biomass (Anabolism);16.1: Circulate"
BSGatlas-gene-2823 "16.11: Scavenge (Catabolism);16.2: Construct biomass (Anabolism);16.8: Protect"
BSGatlas-gene-2825 "16.11: Scavenge (Catabolism);16.2: Construct biomass (Anabolism);16.8: Protect"
BSGatlas-gene-45 "16.11: Scavenge (Catabolism);16.3: Control"
BSGatlas-gene-1373 "16.11: Scavenge (Catabolism);16.3: Control"
BSGatlas-gene-1684 "16.11: Scavenge (Catabolism);16.3: Control"
BSGatlas-gene-2141 "16.11: Scavenge (Catabolism);16.3: Control"
BSGatlas-gene-4029 "16.11: Scavenge (Catabolism);16.3: Control"
BSGatlas-gene-4304 "16.11: Scavenge (Catabolism);16.3: Control"
BSGatlas-gene-4323 "16.11: Scavenge (Catabolism);16.3: Control"
BSGatlas-gene-4619 "16.11: Scavenge (Catabolism);16.3: Control"
BSGatlas-gene-1978 "16.11: Scavenge (Catabolism);16.3: Control;16.6: Maintain"
BSGatlas-gene-1544 "16.11: Scavenge (Catabolism);16.5: Explore"
BSGatlas-gene-2281 "16.11: Scavenge (Catabolism);16.5: Explore"
BSGatlas-gene-2896 "16.11: Scavenge (Catabolism);16.5: Explore"
BSGatlas-gene-2897 "16.11: Scavenge (Catabolism);16.5: Explore"
BSGatlas-gene-3955 "16.11: Scavenge (Catabolism);16.5: Explore"
BSGatlas-gene-4463 "16.11: Scavenge (Catabolism);16.5: Explore"
BSGatlas-gene-4530 "16.11: Scavenge (Catabolism);16.5: Explore"
BSGatlas-gene-1543 "16.11: Scavenge (Catabolism);16.5: Explore;16.6: Maintain"
BSGatlas-gene-61 "16.11: Scavenge (Catabolism);16.6: Maintain"
BSGatlas-gene-140 "16.11: Scavenge (Catabolism);16.6: Maintain"
BSGatlas-gene-158 "16.11: Scavenge (Catabolism);16.6: Maintain"
BSGatlas-gene-357 "16.11: Scavenge (Catabolism);16.6: Maintain"
BSGatlas-gene-358 "16.11: Scavenge (Catabolism);16.6: Maintain"
BSGatlas-gene-497 "16.11: Scavenge (Catabolism);16.6: Maintain"
BSGatlas-gene-966 "16.11: Scavenge (Catabolism);16.6: Maintain"
BSGatlas-gene-1116 "16.11: Scavenge (Catabolism);16.6: Maintain"
BSGatlas-gene-1195 "16.11: Scavenge (Catabolism);16.6: Maintain"
BSGatlas-gene-1322 "16.11: Scavenge (Catabolism);16.6: Maintain"
BSGatlas-gene-1530 "16.11: Scavenge (Catabolism);16.6: Maintain"
BSGatlas-gene-1588 "16.11: Scavenge (Catabolism);16.6: Maintain"
BSGatlas-gene-2310 "16.11: Scavenge (Catabolism);16.6: Maintain"
BSGatlas-gene-2601 "16.11: Scavenge (Catabolism);16.6: Maintain"
BSGatlas-gene-2905 "16.11: Scavenge (Catabolism);16.6: Maintain"
BSGatlas-gene-2936 "16.11: Scavenge (Catabolism);16.6: Maintain"
BSGatlas-gene-3445 "16.11: Scavenge (Catabolism);16.6: Maintain"
BSGatlas-gene-3761 "16.11: Scavenge (Catabolism);16.6: Maintain"
BSGatlas-gene-3783 "16.11: Scavenge (Catabolism);16.6: Maintain"
BSGatlas-gene-3821 "16.11: Scavenge (Catabolism);16.6: Maintain"
BSGatlas-gene-3825 "16.11: Scavenge (Catabolism);16.6: Maintain"
BSGatlas-gene-3866 "16.11: Scavenge (Catabolism);16.6: Maintain"
BSGatlas-gene-3867 "16.11: Scavenge (Catabolism);16.6: Maintain"
BSGatlas-gene-4140 "16.11: Scavenge (Catabolism);16.6: Maintain"
BSGatlas-gene-4667 "16.11: Scavenge (Catabolism);16.6: Maintain"
BSGatlas-gene-4020 "16.11: Scavenge (Catabolism);16.6: Maintain;16.13: Shape"
BSGatlas-gene-4158 "16.11: Scavenge (Catabolism);16.6: Maintain;16.13: Shape"
BSGatlas-gene-183 "16.11: Scavenge (Catabolism);16.6: Maintain;16.2: Construct biomass (Anabolism)"
BSGatlas-gene-86 "16.11: Scavenge (Catabolism);16.6: Maintain;16.3: Control"
BSGatlas-gene-2690 "16.11: Scavenge (Catabolism);16.6: Maintain;16.3: Control"
BSGatlas-gene-4038 "16.11: Scavenge (Catabolism);16.6: Maintain;16.3: Control;16.8: Protect"
BSGatlas-gene-267 "16.11: Scavenge (Catabolism);16.8: Protect"
BSGatlas-gene-305 "16.11: Scavenge (Catabolism);16.8: Protect"
BSGatlas-gene-346 "16.11: Scavenge (Catabolism);16.8: Protect"
BSGatlas-gene-398 "16.11: Scavenge (Catabolism);16.8: Protect"
BSGatlas-gene-474 "16.11: Scavenge (Catabolism);16.8: Protect"
BSGatlas-gene-509 "16.11: Scavenge (Catabolism);16.8: Protect"
BSGatlas-gene-645 "16.11: Scavenge (Catabolism);16.8: Protect"
BSGatlas-gene-686 "16.11: Scavenge (Catabolism);16.8: Protect"
BSGatlas-gene-783 "16.11: Scavenge (Catabolism);16.8: Protect"
BSGatlas-gene-888 "16.11: Scavenge (Catabolism);16.8: Protect"
BSGatlas-gene-994 "16.11: Scavenge (Catabolism);16.8: Protect"
BSGatlas-gene-1075 "16.11: Scavenge (Catabolism);16.8: Protect"
BSGatlas-gene-2165 "16.11: Scavenge (Catabolism);16.8: Protect"
BSGatlas-gene-2306 "16.11: Scavenge (Catabolism);16.8: Protect"
BSGatlas-gene-2323 "16.11: Scavenge (Catabolism);16.8: Protect"
BSGatlas-gene-2793 "16.11: Scavenge (Catabolism);16.8: Protect"
BSGatlas-gene-3583 "16.11: Scavenge (Catabolism);16.8: Protect"
BSGatlas-gene-3658 "16.11: Scavenge (Catabolism);16.8: Protect"
BSGatlas-gene-3830 "16.11: Scavenge (Catabolism);16.8: Protect"
BSGatlas-gene-3860 "16.11: Scavenge (Catabolism);16.8: Protect"
BSGatlas-gene-3931 "16.11: Scavenge (Catabolism);16.8: Protect"
BSGatlas-gene-4236 "16.11: Scavenge (Catabolism);16.8: Protect"
BSGatlas-gene-4274 "16.11: Scavenge (Catabolism);16.8: Protect"
BSGatlas-gene-4432 "16.11: Scavenge (Catabolism);16.8: Protect"
BSGatlas-gene-4433 "16.11: Scavenge (Catabolism);16.8: Protect"
BSGatlas-gene-4515 "16.11: Scavenge (Catabolism);16.8: Protect"
BSGatlas-gene-4733 "16.11: Scavenge (Catabolism);16.8: Protect"
BSGatlas-gene-1618 "16.11: Scavenge (Catabolism);16.8: Protect;16.3: Control"
BSGatlas-gene-3957 "16.11: Scavenge (Catabolism);16.8: Protect;16.4: Excrete"
BSGatlas-gene-426 "16.11: Scavenge (Catabolism);16.8: Protect;16.6: Maintain"
BSGatlas-gene-932 "16.11: Scavenge (Catabolism);16.8: Protect;16.6: Maintain"
BSGatlas-gene-2894 "16.11: Scavenge (Catabolism);16.9: Replicate"
BSGatlas-gene-1769 "16.11: Scavenge (Catabolism);18.1: Enzymes of unknown specificity"
BSGatlas-gene-1781 "16.11: Scavenge (Catabolism);18.1: Enzymes of unknown specificity"
BSGatlas-gene-540 "16.12: Sense"
BSGatlas-gene-926 "16.12: Sense"
BSGatlas-gene-1660 "16.12: Sense"
BSGatlas-gene-3608 "16.12: Sense"
BSGatlas-gene-3668 "16.12: Sense"
BSGatlas-gene-3669 "16.12: Sense"
BSGatlas-gene-3670 "16.12: Sense"
BSGatlas-gene-3671 "16.12: Sense"
BSGatlas-gene-3697 "16.12: Sense"
BSGatlas-gene-3894 "16.12: Sense"
BSGatlas-gene-4182 "16.12: Sense"
BSGatlas-gene-4183 "16.12: Sense"
BSGatlas-gene-4184 "16.12: Sense"
BSGatlas-gene-4606 "16.12: Sense"
BSGatlas-gene-2449 "16.12: Sense;16.15: Symbiosis;16.3: Control"
BSGatlas-gene-270 "16.12: Sense;16.3: Control"
BSGatlas-gene-427 "16.12: Sense;16.3: Control"
BSGatlas-gene-1246 "16.12: Sense;16.3: Control"
BSGatlas-gene-1576 "16.12: Sense;16.3: Control"
BSGatlas-gene-1668 "16.12: Sense;16.3: Control"
BSGatlas-gene-1937 "16.12: Sense;16.3: Control"
BSGatlas-gene-2450 "16.12: Sense;16.3: Control"
BSGatlas-gene-2693 "16.12: Sense;16.3: Control"
BSGatlas-gene-2844 "16.12: Sense;16.3: Control"
BSGatlas-gene-3551 "16.12: Sense;16.3: Control"
BSGatlas-gene-3704 "16.12: Sense;16.3: Control"
BSGatlas-gene-3721 "16.12: Sense;16.3: Control"
BSGatlas-gene-3987 "16.12: Sense;16.3: Control"
BSGatlas-gene-4055 "16.12: Sense;16.3: Control"
BSGatlas-gene-4240 "16.12: Sense;16.3: Control"
BSGatlas-gene-4496 "16.12: Sense;16.3: Control"
BSGatlas-gene-4497 "16.12: Sense;16.3: Control"
BSGatlas-gene-4521 "16.12: Sense;16.3: Control"
BSGatlas-gene-4690 "16.12: Sense;16.3: Control"
BSGatlas-gene-1580 "16.12: Sense;16.3: Control"
BSGatlas-gene-1595 "16.12: Sense;16.3: Control"
BSGatlas-gene-3471 "16.12: Sense;16.3: Control;16.1: Circulate"
BSGatlas-gene-999 "16.12: Sense;16.3: Control;16.5: Explore"
BSGatlas-gene-1171 "16.12: Sense;16.8: Protect"
BSGatlas-gene-3881 "16.12: Sense;16.8: Protect;16.6: Maintain"
BSGatlas-gene-6 "16.13: Shape"
BSGatlas-gene-62 "16.13: Shape"
BSGatlas-gene-83 "16.13: Shape"
BSGatlas-gene-84 "16.13: Shape"
BSGatlas-gene-230 "16.13: Shape"
BSGatlas-gene-334 "16.13: Shape"
BSGatlas-gene-1095 "16.13: Shape"
BSGatlas-gene-1137 "16.13: Shape"
BSGatlas-gene-1141 "16.13: Shape"
BSGatlas-gene-1144 "16.13: Shape"
BSGatlas-gene-1286 "16.13: Shape"
BSGatlas-gene-1644 "16.13: Shape"
BSGatlas-gene-1646 "16.13: Shape"
BSGatlas-gene-1716 "16.13: Shape"
BSGatlas-gene-1734 "16.13: Shape"
BSGatlas-gene-1794 "16.13: Shape"
BSGatlas-gene-1795 "16.13: Shape"
BSGatlas-gene-1796 "16.13: Shape"
BSGatlas-gene-1799 "16.13: Shape"
BSGatlas-gene-1801 "16.13: Shape"
BSGatlas-gene-1802 "16.13: Shape"
BSGatlas-gene-1803 "16.13: Shape"
BSGatlas-gene-1804 "16.13: Shape"
BSGatlas-gene-1807 "16.13: Shape"
BSGatlas-gene-1808 "16.13: Shape"
BSGatlas-gene-1819 "16.13: Shape"
BSGatlas-gene-1820 "16.13: Shape"
BSGatlas-gene-1821 "16.13: Shape"
BSGatlas-gene-1822 "16.13: Shape"
BSGatlas-gene-1823 "16.13: Shape"
BSGatlas-gene-1984 "16.13: Shape"
BSGatlas-gene-2029 "16.13: Shape"
BSGatlas-gene-2158 "16.13: Shape"
BSGatlas-gene-2255 "16.13: Shape"
BSGatlas-gene-2293 "16.13: Shape"
BSGatlas-gene-2316 "16.13: Shape"
BSGatlas-gene-2578 "16.13: Shape"
BSGatlas-gene-2613 "16.13: Shape"
BSGatlas-gene-2808 "16.13: Shape"
BSGatlas-gene-3248 "16.13: Shape"
BSGatlas-gene-3257 "16.13: Shape"
BSGatlas-gene-3286 "16.13: Shape"
BSGatlas-gene-3287 "16.13: Shape"
BSGatlas-gene-3289 "16.13: Shape"
BSGatlas-gene-3290 "16.13: Shape"
BSGatlas-gene-3292 "16.13: Shape"
BSGatlas-gene-3293 "16.13: Shape"
BSGatlas-gene-3655 "16.13: Shape"
BSGatlas-gene-3701 "16.13: Shape"
BSGatlas-gene-3828 "16.13: Shape"
BSGatlas-gene-3833 "16.13: Shape"
BSGatlas-gene-3913 "16.13: Shape"
BSGatlas-gene-4114 "16.13: Shape"
BSGatlas-gene-4115 "16.13: Shape"
BSGatlas-gene-4180 "16.13: Shape"
BSGatlas-gene-4239 "16.13: Shape"
BSGatlas-gene-4246 "16.13: Shape"
BSGatlas-gene-4309 "16.13: Shape"
BSGatlas-gene-4324 "16.13: Shape"
BSGatlas-gene-4434 "16.13: Shape"
BSGatlas-gene-4435 "16.13: Shape"
BSGatlas-gene-4455 "16.13: Shape"
BSGatlas-gene-4456 "16.13: Shape"
BSGatlas-gene-4632 "16.13: Shape"
BSGatlas-gene-4644 "16.13: Shape"
BSGatlas-gene-4645 "16.13: Shape"
BSGatlas-gene-4763 "16.13: Shape"
BSGatlas-gene-4770 "16.13: Shape"
BSGatlas-gene-1759 "16.13: Shape;16.1: Circulate"
BSGatlas-gene-1885 "16.13: Shape;16.1: Circulate"
BSGatlas-gene-2910 "16.13: Shape;16.1: Circulate"
BSGatlas-gene-4191 "16.13: Shape;16.1: Circulate;16.8: Protect"
BSGatlas-gene-2909 "16.13: Shape;16.11: Scavenge (Catabolism)"
BSGatlas-gene-4160 "16.13: Shape;16.11: Scavenge (Catabolism);16.1: Circulate;16.6: Maintain"
BSGatlas-gene-233 "16.13: Shape;16.11: Scavenge (Catabolism);16.6: Maintain"
BSGatlas-gene-247 "16.13: Shape;16.2: Construct biomass (Anabolism)"
BSGatlas-gene-299 "16.13: Shape;16.2: Construct biomass (Anabolism)"
BSGatlas-gene-504 "16.13: Shape;16.2: Construct biomass (Anabolism)"
BSGatlas-gene-554 "16.13: Shape;16.2: Construct biomass (Anabolism)"
BSGatlas-gene-555 "16.13: Shape;16.2: Construct biomass (Anabolism)"
BSGatlas-gene-561 "16.13: Shape;16.2: Construct biomass (Anabolism)"
BSGatlas-gene-1131 "16.13: Shape;16.2: Construct biomass (Anabolism)"
BSGatlas-gene-1156 "16.13: Shape;16.2: Construct biomass (Anabolism)"
BSGatlas-gene-1258 "16.13: Shape;16.2: Construct biomass (Anabolism)"
BSGatlas-gene-1664 "16.13: Shape;16.2: Construct biomass (Anabolism)"
BSGatlas-gene-1687 "16.13: Shape;16.2: Construct biomass (Anabolism)"
BSGatlas-gene-1800 "16.13: Shape;16.2: Construct biomass (Anabolism)"
BSGatlas-gene-1876 "16.13: Shape;16.2: Construct biomass (Anabolism)"
BSGatlas-gene-2125 "16.13: Shape;16.2: Construct biomass (Anabolism)"
BSGatlas-gene-2647 "16.13: Shape;16.2: Construct biomass (Anabolism)"
BSGatlas-gene-2960 "16.13: Shape;16.2: Construct biomass (Anabolism)"
BSGatlas-gene-3467 "16.13: Shape;16.2: Construct biomass (Anabolism)"
BSGatlas-gene-3490 "16.13: Shape;16.2: Construct biomass (Anabolism)"
BSGatlas-gene-4107 "16.13: Shape;16.2: Construct biomass (Anabolism)"
BSGatlas-gene-4479 "16.13: Shape;16.2: Construct biomass (Anabolism)"
BSGatlas-gene-4634 "16.13: Shape;16.2: Construct biomass (Anabolism)"
BSGatlas-gene-245 "16.13: Shape;16.2: Construct biomass (Anabolism);16.6: Maintain"
BSGatlas-gene-821 "16.13: Shape;16.2: Construct biomass (Anabolism);16.8: Protect"
BSGatlas-gene-203 "16.13: Shape;16.3: Control"
BSGatlas-gene-1620 "16.13: Shape;16.3: Control"
BSGatlas-gene-1622 "16.13: Shape;16.3: Control"
BSGatlas-gene-3391 "16.13: Shape;16.3: Control"
BSGatlas-gene-243 "16.13: Shape;16.3: Control;16.6: Maintain"
BSGatlas-gene-65 "16.13: Shape;16.5: Explore"
BSGatlas-gene-519 "16.13: Shape;16.5: Explore"
BSGatlas-gene-1396 "16.13: Shape;16.5: Explore"
BSGatlas-gene-1913 "16.13: Shape;16.5: Explore"
BSGatlas-gene-1916 "16.13: Shape;16.5: Explore"
BSGatlas-gene-1975 "16.13: Shape;16.5: Explore"
BSGatlas-gene-3300 "16.13: Shape;16.5: Explore"
BSGatlas-gene-3672 "16.13: Shape;16.5: Explore"
BSGatlas-gene-4127 "16.13: Shape;16.5: Explore"
BSGatlas-gene-1996 "16.13: Shape;16.5: Explore;16.8: Protect"
BSGatlas-gene-2333 "16.13: Shape;16.5: Explore;16.8: Protect"
BSGatlas-gene-2723 "16.13: Shape;16.5: Explore;16.8: Protect"
BSGatlas-gene-2725 "16.13: Shape;16.5: Explore;16.8: Protect"
BSGatlas-gene-3268 "16.13: Shape;16.5: Explore;16.8: Protect"
BSGatlas-gene-3607 "16.13: Shape;16.5: Explore;16.8: Protect"
BSGatlas-gene-3911 "16.13: Shape;16.5: Explore;16.8: Protect"
BSGatlas-gene-4208 "16.13: Shape;16.5: Explore;16.8: Protect"
BSGatlas-gene-1988 "16.13: Shape;16.6: Maintain"
BSGatlas-gene-2857 "16.13: Shape;16.6: Maintain"
BSGatlas-gene-3925 "16.13: Shape;16.6: Maintain"
BSGatlas-gene-4420 "16.13: Shape;16.6: Maintain"
BSGatlas-gene-3024 "16.13: Shape;16.6: Maintain;17.2: Prophage functions"
BSGatlas-gene-1219 "16.13: Shape;16.8: Protect"
BSGatlas-gene-1340 "16.13: Shape;16.8: Protect"
BSGatlas-gene-1532 "16.13: Shape;16.8: Protect"
BSGatlas-gene-1636 "16.13: Shape;16.8: Protect"
BSGatlas-gene-2114 "16.13: Shape;16.8: Protect"
BSGatlas-gene-2353 "16.13: Shape;16.8: Protect"
BSGatlas-gene-3269 "16.13: Shape;16.8: Protect"
BSGatlas-gene-3426 "16.13: Shape;16.8: Protect"
BSGatlas-gene-3427 "16.13: Shape;16.8: Protect"
BSGatlas-gene-3660 "16.13: Shape;16.8: Protect"
BSGatlas-gene-4036 "16.13: Shape;16.8: Protect"
BSGatlas-gene-4067 "16.13: Shape;16.8: Protect"
BSGatlas-gene-4149 "16.13: Shape;16.8: Protect"
BSGatlas-gene-4150 "16.13: Shape;16.8: Protect"
BSGatlas-gene-4151 "16.13: Shape;16.8: Protect"
BSGatlas-gene-4152 "16.13: Shape;16.8: Protect"
BSGatlas-gene-4154 "16.13: Shape;16.8: Protect"
BSGatlas-gene-4157 "16.13: Shape;16.8: Protect"
BSGatlas-gene-4170 "16.13: Shape;16.8: Protect"
BSGatlas-gene-4189 "16.13: Shape;16.8: Protect"
BSGatlas-gene-4192 "16.13: Shape;16.8: Protect"
BSGatlas-gene-4209 "16.13: Shape;16.8: Protect"
BSGatlas-gene-4710 "16.13: Shape;16.8: Protect"
BSGatlas-gene-2282 "16.13: Shape;16.8: Protect;16.2: Construct biomass (Anabolism)"
BSGatlas-gene-854 "16.13: Shape;16.8: Protect;16.5: Explore"
BSGatlas-gene-1397 "16.13: Shape;16.8: Protect;16.5: Explore"
BSGatlas-gene-1398 "16.13: Shape;16.8: Protect;16.5: Explore"
BSGatlas-gene-1399 "16.13: Shape;16.8: Protect;16.5: Explore"
BSGatlas-gene-1401 "16.13: Shape;16.8: Protect;16.5: Explore"
BSGatlas-gene-4404 "16.13: Shape;16.8: Protect;16.5: Explore"
BSGatlas-gene-4407 "16.13: Shape;16.8: Protect;16.5: Explore"
BSGatlas-gene-4409 "16.13: Shape;16.8: Protect;16.5: Explore"
BSGatlas-gene-201 "16.13: Shape;16.8: Protect;16.6: Maintain"
BSGatlas-gene-2582 "16.13: Shape;16.8: Protect;16.6: Maintain"
BSGatlas-gene-2722 "16.13: Shape;16.8: Protect;16.6: Maintain"
BSGatlas-gene-4764 "16.13: Shape;16.8: Protect;16.9: Replicate"
BSGatlas-gene-85 "16.13: Shape;16.9: Replicate"
BSGatlas-gene-1790 "16.13: Shape;16.9: Replicate"
BSGatlas-gene-2728 "16.13: Shape;16.9: Replicate"
BSGatlas-gene-4762 "16.13: Shape;16.9: Replicate"
BSGatlas-gene-1306 "16.14: Store"
BSGatlas-gene-3610 "16.14: Store"
BSGatlas-gene-3611 "16.14: Store"
BSGatlas-gene-3612 "16.14: Store"
BSGatlas-gene-3613 "16.14: Store"
BSGatlas-gene-3146 "16.14: Store;16.1: Circulate"
BSGatlas-gene-4095 "16.14: Store;16.1: Circulate;16.5: Explore"
BSGatlas-gene-3609 "16.14: Store;16.11: Scavenge (Catabolism)"
BSGatlas-gene-1383 "16.14: Store;16.7: Manage energy;16.2: Construct biomass (Anabolism)"
BSGatlas-gene-3603 "16.14: Store;16.8: Protect"
BSGatlas-gene-3601 "16.14: Store;16.8: Protect;16.11: Scavenge (Catabolism)"
BSGatlas-gene-18 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-21 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-23 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-25 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-48 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-59 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-69 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-73 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-74 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-82 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-93 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-96 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-100 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-101 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-102 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-103 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-104 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-105 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-109 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-132 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-133 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-134 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-137 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-139 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-142 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-145 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-146 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-148 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-149 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-151 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-152 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-154 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-155 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-156 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-157 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-160 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-161 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-162 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-163 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-164 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-165 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-166 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-167 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-168 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-169 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-170 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-171 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-172 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-173 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-174 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-175 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-176 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-177 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-178 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-179 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-180 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-184 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-186 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-187 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-188 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-189 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-190 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-197 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-198 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-295 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-342 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-392 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-395 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-415 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-467 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-492 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-659 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-727 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-728 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-733 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-793 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-802 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-803 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-804 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-805 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-806 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-807 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-808 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-809 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-810 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-811 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-812 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-813 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-829 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-830 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-831 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-1036 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-1042 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-1072 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-1117 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-1128 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-1130 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-1209 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-1304 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-1323 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-1332 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-1333 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-1335 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-1336 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-1337 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-1338 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-1347 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-1348 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-1357 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-1390 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-1391 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-1392 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-1393 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-1415 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-1416 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-1559 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-1560 "16.2: Construct biomass (Anabolism)"
BSGatlas-gene-1566 "16.2: Construct biomass (Anabolism)"
